id,company,document_type,fiscal_year,quarter,call_date,transcript_url,ppt_url,summary_url
24,RELIANCE,concall,,,Feb 2022,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7d172a7c-9056-4588-ad0c-d5c114ff902a.pdf,
25,RELIANCE,concall,,,Jan 2022,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6047c516-bdab-4a88-9103-81d6ddad23d5.pdf,
26,RELIANCE,concall,,,Oct 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1008c763-0d31-4432-a031-6dd4afda0c72.pdf,
27,RELIANCE,concall,,,Jul 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/33e997e6-025e-478e-b71f-fb59dca2a4ef.pdf,
28,RELIANCE,concall,,,Apr 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b9139079-b211-4486-a604-ef5b85a7985e.pdf,
29,RELIANCE,concall,,,Feb 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/caff4f40-fd8f-49ae-929c-f5dae4c98ec3.pdf,
30,RELIANCE,concall,,,Feb 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4c079f28-425e-4fb4-a830-ae9f4fde355d.pdf,
31,RELIANCE,concall,,,Jan 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c44095c1-55cb-4048-a235-6f776dd054e9.pdf,
32,RELIANCE,concall,,,Jan 2021,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ee845952-2c47-4abc-b15a-ab759c068efe.pdf,
33,RELIANCE,concall,,,Oct 2020,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ef91573e-ebb9-4257-8209-b684d9380a3e.pdf,
34,RELIANCE,concall,,,Jul 2020,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c9c7754a-ab5a-4463-a5cb-3baafbef135d.pdf,
35,RELIANCE,concall,,,May 2020,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8841c2b4-6659-4ea6-aefd-9874fee15705.pdf,
36,RELIANCE,concall,,,Jan 2020,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a738dab1-1698-4a4f-b863-148b5c5023e0.pdf,
37,RELIANCE,concall,,,Oct 2019,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5f6d2f75-5b1f-4c8b-87eb-34e3c8246fb1.pdf,
38,RELIANCE,concall,,,Oct 2019,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bcf1b986-0d58-4126-b3fa-cf67e7b44e14.pdf,
39,RELIANCE,concall,,,Apr 2019,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/05c527f3-c7ff-4e83-a2b3-d7d92b20969d.pdf,
40,RELIANCE,concall,,,Jan 2019,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2019/1/040c976b-6d40-4903-905e-27820f21eb05.pdf,
41,RELIANCE,concall,,,Oct 2018,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2018/10/d71a237f-6917-4594-969d-cfd62d1849d9.pdf,
42,RELIANCE,concall,,,Apr 2018,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2018/4/e0357498-61d2-405d-98c9-02a1e83b556b.pdf,
43,RELIANCE,concall,,,Jan 2018,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2018/1/1a49913c-4798-4f48-ab39-e187ea89caf2.pdf,
44,RELIANCE,concall,,,Oct 2017,,https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2017/10/421cf002-f53b-4c1c-a8be-de2fdda6fd05.pdf,
45,RELIANCE,concall,,,Jun 2016,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6669EE6F_088E_4C15_9839_E2DBB861749D_110427.pdf,
46,RELIANCE,annual_report,,,Financial Year 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/468b09a3-a212-4066-bbaa-4b0ba524d2ce.pdf,,
47,RELIANCE,annual_report,,,Financial Year 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d473280d-1c2b-4037-8ff9-dfbb82aa2c7e.pdf,,
48,RELIANCE,annual_report,,,Financial Year 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b55b5dfc-a3bf-4f24-9d7f-ca09774a1dd9.pdf,,
49,RELIANCE,annual_report,,,Financial Year 2022,https://www.bseindia.com/bseplus/AnnualReport/500325/74185500325.pdf,,
50,RELIANCE,annual_report,,,Financial Year 2021,https://www.bseindia.com/bseplus/AnnualReport/500325/68509500325.pdf,,
51,RELIANCE,annual_report,,,Financial Year 2020,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250320.pdf,,
52,RELIANCE,annual_report,,,Financial Year 2019,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250319.pdf,,
53,RELIANCE,annual_report,,,Financial Year 2018,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250318.pdf,,
54,RELIANCE,annual_report,,,Financial Year 2017,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250317.pdf,,
55,RELIANCE,annual_report,,,Financial Year 2016,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250316.pdf,,
56,RELIANCE,annual_report,,,Financial Year 2015,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250315.pdf,,
57,RELIANCE,annual_report,,,Financial Year 2014,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250314.pdf,,
58,RELIANCE,annual_report,,,Financial Year 2013,https://archives.nseindia.com/annual_reports/AR_19_RELIANCE_2012_2013_08052013171218.zip,,
59,RELIANCE,annual_report,,,Financial Year 2013,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250313.pdf,,
60,RELIANCE,annual_report,,,Financial Year 2012,https://www.bseindia.com/bseplus/AnnualReport/500325/5003250312.pdf,,
61,RELIANCE,credit_rating,,,30 Mar from crisil,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/RelianceIndustriesLimited_March 30_ 2026_RR_392495.html,,
62,RELIANCE,credit_rating,,,30 Jan from crisil,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/FirstBusinessReceivablesTrust_January 30_ 2026_RR_387316.html,,
63,RELIANCE,credit_rating,,,29 Jan from icra,https://www.icra.in/Rationale/ShowRationaleReport/?Id=140636,,
64,RELIANCE,credit_rating,,,30 Oct 2025 from crisil,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/RelianceIndustriesLimited_October 30_ 2025_RR_379987.html,,
65,RELIANCE,credit_rating,,,30 Jul 2025 from crisil,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/FirstBusinessReceivablesTrust_July 30_ 2025_RR_374300.html,,
66,RELIANCE,credit_rating,,,4 Jul 2025 from care,https://www.careratings.com/upload/CompanyFiles/PR/202507130705_Reliance_Industries_Limited.pdf,,
67,TCS,concall,,,Apr 2026,https://www.bseindia.com/xml-data/corpfiling/AttachHis/07ae2d32-1050-4e80-96ff-eb2d98378d4e.pdf,,https://www.screener.in/concalls/summary/23144018/
68,TCS,concall,,,Mar 2026,,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2025-26/q4/Presentations/Q4%202025-26%20Fact%20Sheet.pdf,
69,TCS,concall,,,Jan 2026,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d70edbab-d5b2-47ae-8820-efacc5052d13.pdf,,https://www.screener.in/concalls/summary/23068084/
70,TCS,concall,,,Dec 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d59af2b6-34c7-4ca1-9455-f4899e5f26cf.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0d9ed3a7-0106-4b36-840e-ef76c59a3c7a.pdf,https://www.screener.in/concalls/summary/23067273/
71,TCS,concall,,,Nov 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7fa78f01-221c-47fe-a83d-098bc43b0de7.pdf,,https://www.screener.in/concalls/summary/23044800/
72,TCS,concall,,,Oct 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/56f7fbb9-5cf4-49e1-95ef-62af7ad2a999.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2025-26/q2/Presentations/Q2%202025-26%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/23040464/
73,TCS,concall,,,Jul 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9cee0fdb-07a3-4dc6-af7a-40dce51e1348.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2025-26/q1/Presentations/Q1%202025-26%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/23017988/
74,TCS,concall,,,Apr 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d3f70d49-123f-40d6-a0a9-b584546c8c63.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q4/Presentations/Q4%202024-25%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/22993200/
75,TCS,concall,,,Jan 2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5f89d612-0771-4c26-a565-546c1d46ba9c.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q3/Presentations/Q3%202024-25%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/22971846/
76,TCS,concall,,,Oct 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a7066eb7-d5d8-4d9e-87fd-ed222315999d.pdf,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q2/Presentations/Q2%202024-25%20Fact%20Sheet.pdf,https://www.screener.in/concalls/summary/22949370/
77,TCS,concall,,,Aug 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0a723c36-afac-4687-af0d-c01fd45c8815.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8dd38adb-a021-420f-bff8-1b9f0fe1351b.pdf,https://www.screener.in/concalls/summary/22929148/
78,TCS,concall,,,Jul 2024,,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q1/Presentations/Q1%202024-25%20Fact%20Sheet.pdf,
